City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Port Victoria,KE,0.09,33.98,1594666349,58,66,71.78,1.1
Rikitea,PF,-23.12,-134.97,1594666350,56,84,72.88,15.17
Lompoc,US,34.64,-120.46,1594666289,3,72,69.01,8.05
Atuona,PF,-9.8,-139.03,1594666350,5,77,79.81,21.39
Mahbūbābād,IN,17.62,80.02,1594666350,100,77,81.09,2.3
Aykhal,RU,66.0,111.5,1594666140,75,55,60.8,4.47
Mataura,NZ,-46.19,168.86,1594666232,100,92,40.87,3.11
Grants Pass,US,42.44,-123.33,1594666351,1,36,77.0,12.75
Les Cayes,HT,18.2,-73.75,1594666351,33,58,88.63,8.57
Likasi,CD,-10.98,26.73,1594666351,0,48,62.17,4.09
Lüderitz,NA,-26.65,15.16,1594666351,0,82,57.2,9.17
Kosh-Agach,RU,50.0,88.67,1594666352,100,81,51.71,6.42
Winslow,US,35.02,-110.7,1594666352,1,16,98.6,24.16
Saint Paul Harbor,US,57.79,-152.41,1594666352,90,87,53.6,9.17
Amapá,BR,1.0,-52.0,1594666052,71,69,84.22,2.82
Aklavik,CA,68.22,-135.01,1594665927,40,67,62.6,5.82
Butaritari,KI,3.07,172.79,1594666353,100,76,82.18,5.12
Oktyabr'skiy,RU,54.48,53.47,1594666032,0,89,73.17,5.32
Fort Nelson,CA,58.81,-122.7,1594666353,75,55,66.2,11.41
East London,ZA,-33.02,27.91,1594666252,0,35,63.16,25.97
Kavieng,PG,-2.57,150.8,1594666354,100,77,81.64,10.83
Tuscaloosa,US,33.21,-87.57,1594666234,20,55,93.0,6.93
Punta Arenas,CL,-53.15,-70.92,1594666200,75,84,33.8,4.7
Fort-Shevchenko,KZ,44.51,50.26,1594665853,0,54,82.94,3.49
Jamestown,US,42.1,-79.24,1594666355,75,64,73.99,13.87
Narsaq,GL,60.92,-46.05,1594666270,75,71,57.2,10.29
Vaini,TO,-21.2,-175.2,1594666355,20,68,69.8,10.29
Busselton,AU,-33.65,115.33,1594666355,100,76,55.0,21.74
Palmares do Sul,BR,-30.26,-50.51,1594666356,100,58,53.96,10.85
Banda Aceh,ID,5.56,95.32,1594666356,100,80,78.71,3.89
Barrow,US,71.29,-156.79,1594666329,90,83,35.6,13.87
Ararat,AM,39.83,44.7,1594666356,20,60,69.8,4.7
Christchurch,NZ,-43.53,172.63,1594666356,0,100,26.6,2.24
Tuktoyaktuk,CA,69.45,-133.04,1594666357,75,76,55.4,8.05
Noyabrsk,RU,63.2,75.45,1594666357,89,78,53.67,18.5
Saint-Philippe,RE,-21.36,55.77,1594666357,43,77,66.2,4.7
Mae Ramat,TH,16.98,98.52,1594666357,98,92,73.99,1.34
Fallon,US,39.47,-118.78,1594666358,1,8,89.01,4.7
Goundam,ML,16.41,-3.67,1594666358,50,20,101.25,7.54
Cabedelo,BR,-6.98,-34.83,1594666358,20,58,82.4,11.41
La Ronge,CA,55.1,-105.28,1594666237,75,60,68.0,4.7
Faanui,PF,-16.48,-151.75,1594666219,100,80,78.69,12.71
Buluang,PH,13.31,123.34,1594666359,100,85,76.96,2.55
Iskateley,RU,67.68,53.15,1594666359,46,82,46.74,6.64
Trairi,BR,-3.28,-39.27,1594665992,100,62,81.45,12.59
Salto,UY,-31.38,-57.97,1594666239,0,44,59.0,9.17
Dhidhdhoo,MV,6.88,73.1,1594666108,79,70,84.09,5.91
Chicama,PE,-7.84,-79.15,1594666360,10,56,73.85,10.51
Ushuaia,AR,-54.8,-68.3,1594666166,40,86,33.8,27.51
Omsukchan,RU,62.53,155.8,1594666360,100,67,60.26,7.23
Swakopmund,NA,-22.68,14.53,1594666360,0,67,60.8,12.75
Camapuã,BR,-19.53,-54.04,1594666360,3,29,90.88,6.93
Kazaki,RU,52.62,38.26,1594666360,100,94,65.44,6.87
New Norfolk,AU,-42.78,147.06,1594666228,1,91,41.0,2.04
Matara,LK,5.95,80.54,1594666361,37,90,79.95,8.03
Ponta do Sol,PT,32.67,-17.1,1594666361,20,69,75.2,6.93
Saint George,US,37.1,-113.58,1594666153,1,14,106.0,6.93
Fairbanks,US,64.84,-147.72,1594666361,90,100,54.0,5.82
Port Alfred,ZA,-33.59,26.89,1594666362,0,41,59.05,29.66
Albany,US,42.6,-73.97,1594666361,6,35,87.01,5.01
Castro,BR,-24.79,-50.01,1594666362,29,70,70.36,8.14
Tiksi,RU,71.69,128.87,1594666363,100,87,50.09,10.89
Kawalu,ID,-7.38,108.21,1594666363,69,93,72.01,1.39
Noumea,NC,-22.28,166.46,1594666338,40,82,71.01,3.36
Gizo Government Station,SB,-8.1,156.84,1594666160,93,74,82.0,7.47
